uri,cid,author_did,author_handle,author_display_name,text,created_at,reply_count,repost_count,like_count,indexed_at,langs,is_2025
at://did:plc:7omv7azuklvx3nlrwbqo3ydx/app.bsky.feed.post/3lv6pgdnq2k2x,bafyreiditnl2rydtrr6wfvxotve3zj2n76euqatgamktpfjiyyddiux3dm,did:plc:7omv7azuklvx3nlrwbqo3ydx,marlokko.bsky.social,Marlokko,"Tira os privilégio de agro e outras burguesias, cobra oq se deve cobrar, pega a grana e faz 1a renda básica universal boa: mesmo q os preços aumentem vai todo mundo ter dinheiro pra qualidade de vida, a grana vai circular, pode até acabar gerando o mesmo lucro,  senão mais, pra esses burguês safado",2025-07-30T13:17:26.569Z,0,0,0,2025-07-30T13:17:27.305Z,['pt'],True
at://did:plc:bypcdgk6hh2loydzxtoenavx/app.bsky.feed.post/3lv6p6hknl22n,bafyreigqpnmdevpqj7ulcxde6kvz2coblatvzmkremoabtuoa3eb5qj4sa,did:plc:bypcdgk6hh2loydzxtoenavx,japolitano.bsky.social,Japolitano Real Oficial,"Era pro agro carregar a gente num belo ônibus leito, não nas costas. Isso acontece pq certamente boa parte do $ das exportações sequer vem pro BR.",2025-07-30T13:13:02.229Z,0,0,0,2025-07-30T13:13:05.522Z,['pt'],True
at://did:plc:7fl5rza3daekkqzn4gc7oynt/app.bsky.feed.post/3lv6oxo3gb223,bafyreienn2s2yupaecajfdh7sb34x2takz3rjwoebln343bjpynfzczuji,did:plc:7fl5rza3daekkqzn4gc7oynt,bethk26.bsky.social,Beth K🍀,Agro bolsonarista não deve receber subsídios,2025-07-30T13:09:14.189Z,0,0,0,2025-07-30T13:09:14.406Z,['pt'],True
at://did:plc:n7x3qiji5hbgumuj4z63paxm/app.bsky.feed.post/3lv6ouizivs2y,bafyreihlwzhkvqaoid7cmfujtmt7alezam5ikk5yv5jhddascvy2ywatly,did:plc:n7x3qiji5hbgumuj4z63paxm,martchelab.bsky.social,O Crono Trigue de Belém,O agro é uma minoria (concentração de riqueza),2025-07-30T13:07:28.220Z,0,0,0,2025-07-30T13:07:29.510Z,['pt'],True
at://did:plc:br6gc7le5nafnfxu7bmulwhs/app.bsky.feed.post/3lv6oqlatvu2f,bafyreidijsfbhuokyotfriuf5nm4xjwy7cxlreokdli4qwsa43rsfhawfm,did:plc:br6gc7le5nafnfxu7bmulwhs,julio-barros.bsky.social,Júlio Barros ,"Mas o Agro é Pop, a custa o dinheiro do contribuinte",2025-07-30T13:05:15.932Z,0,0,0,2025-07-30T13:05:16.507Z,['pt'],True
at://did:plc:eog63hpefo24mxtdzki37ooo/app.bsky.feed.post/3lv6o7tr62c24,bafyreibxt6wkwqjpdtdatmxbpnr7ais2y5gl2mu65h6m4zwqpgp3ywgiky,did:plc:eog63hpefo24mxtdzki37ooo,car0linethais.bsky.social,🇵🇸 caroline with an e 🇵🇸,"Golpes que não caio:

o agro vai entrar em uma crise PROFUNDA pq não vai mais exportar",2025-07-30T12:55:54.837Z,0,0,0,2025-07-30T12:55:55.907Z,['pt'],True
at://did:plc:6f3ksedanzqgkcehbrb4ccvm/app.bsky.feed.post/3lv6o6poqnc26,bafyreia6lxugntc74pevrevfvkztnoykuhbp4cjxydv6nokajskjqrqhzu,did:plc:6f3ksedanzqgkcehbrb4ccvm,babyface.bsky.social,Douglas,"Agora, troque ""agro"" por""minorias""

Não é mais tão legal, né?",2025-07-30T12:55:17.009Z,1,0,0,2025-07-30T12:55:18.207Z,['pt'],True
at://did:plc:n7x3qiji5hbgumuj4z63paxm/app.bsky.feed.post/3lv6nb23qu22h,bafyreidvctybl3d7cfppnz4otwl2nncygqhko7hbaqhqnydtwr5n3vdr7i,did:plc:n7x3qiji5hbgumuj4z63paxm,martchelab.bsky.social,O Crono Trigue de Belém,"Enfim - odeio o agro, odeio mineradoras, odeio que o sotaque no sul do meu estado seja influenciado pelo sotaque goiano desses canalhas que vieram roubar nossas terras e odeio o agro",2025-07-30T12:38:41.289Z,2,0,0,2025-07-30T12:39:53.306Z,['pt'],True
at://did:plc:lr3iqnutaoznq42mwzsg5wff/app.bsky.feed.post/3lv6n75s4sk2o,bafyreige6btykekfj76kntcizmq3ypvp7cd4r5v4muciqhmocr72mhumku,did:plc:lr3iqnutaoznq42mwzsg5wff,wanessacamargos10.bsky.social,Wanessacamargos,"Saudar Ustra no dia do Impeachment da Dilma, falar em metralhar adversários, 700 mil mortes na pandemia, tentativa de golpe 😍😍😍

Mexer com o dinheiro do agro
😡😡😡",2025-07-30T12:37:38.055Z,0,1,4,2025-07-30T12:37:38.911Z,['pt'],True
at://did:plc:smuh4stdqdw3l7sjf5urqjhy/app.bsky.feed.post/3lv6mvs7xxs2d,bafyreigjmkgq2cz3r2za3cixxxrl3c5aiokwdvg255ankmbrudxjfrh6ym,did:plc:smuh4stdqdw3l7sjf5urqjhy,ildetelopes.bsky.social,Ildete Lopes,"Como assim?????????
Me nego financiar o AGRO golpista.",2025-07-30T12:32:23.940Z,0,0,0,2025-07-30T12:32:25.410Z,['pt'],True
at://did:plc:3ah7euianvaron24u32iuimy/app.bsky.feed.post/3lv6mjf7g322e,bafyreidlastnlwx63yllwquj6dac2auku56233pgawkmqmphyc27alxkhu,did:plc:3ah7euianvaron24u32iuimy,tomatesahraouie.bsky.social,Tomate sahraouie,"Et un modèle agro exportateur catastrophique, socialement et pour l'environnement. 
Que le Maroc impose au Sahara occidental.
Qui en parle ? tomatesahraouie.wordpress.com 
Comment la Grande Distribution soutient l’exploitation du SAHARA OCCIDENTAL",2025-07-30T12:25:27.636Z,1,0,0,2025-07-30T12:25:31.007Z,['fr'],True
at://did:plc:n7x3qiji5hbgumuj4z63paxm/app.bsky.feed.post/3lv6mjbdn522h,bafyreibgph3lsj5yybl4pr2wehg537nffov544tledwnqlmdmfyt4b7wpe,did:plc:n7x3qiji5hbgumuj4z63paxm,martchelab.bsky.social,O Crono Trigue de Belém,"Colocando meu chapéu de alumínio e subindo num palanque feito de palito de picolé: o Brasil vai demorar muito, se não for impossível, a se tornar um paz da igualdade enquanto o ""agro"" existir

O agro é ainda uma terra totalmente sem lei que os latifundiários mandam como mandavam séculos atrás",2025-07-30T12:25:23.581Z,1,0,0,2025-07-30T12:26:35.508Z,['pt'],True
at://did:plc:2mhzphtdaj5icocxvuimmhoz/app.bsky.feed.post/3lv6mis6lnk23,bafyreie5ewekvwqpfyqy5k5rhzjm3cwbuahekymn5nl56sxfhrqga644g4,did:plc:2mhzphtdaj5icocxvuimmhoz,barrgui19.bsky.social,Jaime Guimarães,"Na Bahia o preço da manga caiu 54%. A turma do agro já tá chorando os ""prejuízos"" do tarifaço. Preferem deixar os frutos apodrecerem nos pés a vender para o mercado interno.",2025-07-30T12:25:07.686Z,0,0,0,2025-07-30T12:25:09.306Z,['pt'],True
at://did:plc:hbtxqyn7b6w5w2uij3ujkwvu/app.bsky.feed.post/3lv6mgkli7s2w,bafyreifwkye7mywqyvix6lrwrs2ot672hrfa5spclmtu32f5pxoipdpzy4,did:plc:hbtxqyn7b6w5w2uij3ujkwvu,isabelczuleta.bsky.social,Isabel Zuleta,"- Entrega de tierras a los campesinos ✔️
- Recuperación del agro ✔️
- Reducción mortalidad infantil por desnutrición ✔️
- Reindustrialización, avanzando EEUU se acaba de dar cuenta de esta necesidad. 
- Salario para soldados y patrulleros ✔️",2025-07-30T12:23:52.581Z,0,0,0,2025-07-30T12:23:52.523Z,['es'],True
at://did:plc:hm4hsmxsmpr3cllvfddftiua/app.bsky.feed.post/3lv6mea35fc2l,bafyreib2mhu5ofmx2orr66d5tm4s6yid6waq5caxqjlmmp3f3qc7whpzly,did:plc:hm4hsmxsmpr3cllvfddftiua,dulcinea.bsky.social,🥃Dulcinea,"Dia!A obediência servil p/MANTER SEUS PRIVILÉGIOS/IMPUNIDADE E PODER faz do JUDICIÁRIO,LEGISLATIVO E IMPRENSA INIMIGOS DO POVO! INDIGNA É A NAÇÃO Q C COLOCA D 4 p/o estragosunidos,q elegeu o #TRUMPPEDOPHILE! MTO OBRIGADA TRIPRESIDENTE LULA PELO BRASIL SOBERANO! AGRO VENDA➕️ BARATO P/POVO BRASILEIRO!",2025-07-30T12:22:34.426Z,0,3,4,2025-07-30T12:22:39.409Z,['pt'],True
at://did:plc:eugfmx4lsdspdkq5ndjdzvrv/app.bsky.feed.post/3lv6mbr6he22s,bafyreibdmwrzbtqkj6yxj7qgzelzpkdknmgd6vvscehjonjg6lnzx4uzhq,did:plc:eugfmx4lsdspdkq5ndjdzvrv,kadello.bsky.social,Microwave warrior,"Esse suco de m** deve durar uns 10 anos estocado, e quando vence devem reciclar isso com soda caustica que nem faz com leite, por isso eles não se preocupam. Mas a gente devia se preocupar quando nem na reação a ""esquerda"" o governo pauta melhora pra agricultura que atende nois, ta é coptando o agro",2025-07-30T12:21:11.753Z,0,0,0,2025-07-30T12:21:10.607Z,['pt'],True
at://did:plc:hehtoygub3fe3fejye7k6wwx/app.bsky.feed.post/3lv6lifu5fs2j,bafyreibv345nthzjwgdodx5hgprfafvu7yz56mi7jxla6donrsegdmr2pu,did:plc:hehtoygub3fe3fejye7k6wwx,erikab1.bsky.social,Erika_b1,"O problema não eh o governo A ou B. São os congressistas que dão subsídios e isenções zilionarias pro AGRO LUCRAR. Aí, ao invés de  VENDER aqui, vendem em DOLAR",2025-07-30T12:07:01.020Z,0,0,1,2025-07-30T12:07:03.107Z,['en'],True
at://did:plc:nlxguc3mkbfq2kxue666qdym/app.bsky.feed.post/3lv6lgnavh22f,bafyreibuacy7jdy2vbefrxnn2xqva2cc736hvby4ih4n62nscvi474ucxq,did:plc:nlxguc3mkbfq2kxue666qdym,pittyxavier.bsky.social,Priscilla Xavier,O agro é um negócio. Mas com características muito próprias. A que ponto? Já deram demonstrações inúmeras de que preferem descartar mercadoria a escoar no mercado interno ou fazer algum tipo de movimento pela redução da fome em áreas vulneráveis. Por essas e outras não tenho empatia!,2025-07-30T12:06:01.668Z,0,0,0,2025-07-30T12:06:05.212Z,['pt'],True
at://did:plc:nylvuouiejfot7io2l27kide/app.bsky.feed.post/3lv6lgi4shs2z,bafyreiahriomwa4wx2tugmiy5wdlbxd5pxfskx7wpske5vsll2ca2wuwve,did:plc:nylvuouiejfot7io2l27kide,freiraead.bsky.social,라피,"Brasil tem MUITO alimento. A diferença é que nos alimentamos do que a agricultura familiar produz, enquanto que o agro envia tudo para o exterior. Pois é!",2025-07-30T12:05:56.292Z,0,0,0,2025-07-30T12:05:57.605Z,['pt'],True
at://did:plc:5igygcmxwz4lek4yoob7usgt/app.bsky.feed.post/3lv6lalqqz22s,bafyreideb3ydnlevy3frykauxhld2khrsikd74bqcn2kdhtzaa6lytmhbi,did:plc:5igygcmxwz4lek4yoob7usgt,eduardokafer.bsky.social,Eduardo Kafer,"""O agro alimenta o Brasil"". O agro quer é lucro. Se puder vender em dólar e ver a gente passando perrengue, eles não tão nem aí.",2025-07-30T12:02:38.761Z,0,0,1,2025-07-30T12:02:41.205Z,['pt'],True
at://did:plc:udxobhxglzf2p6raewiedvth/app.bsky.feed.post/3lv6l662od22w,bafyreietqeslqhltby24ekqkdgymuiar3yyfuoshn7bva5nrb2afxm4zd4,did:plc:udxobhxglzf2p6raewiedvth,condepaspalho.bsky.social,Leia Jiraishin,Eu quando sou Brasileiro e o agro tem que vender tudo mais barato,2025-07-30T12:01:17.300Z,0,2,4,2025-07-30T12:01:19.210Z,['pt'],True
at://did:plc:razafgyj7hhusljz5gcmrgzj/app.bsky.feed.post/3lv6kprqnxs2v,bafyreifqo36keqqq4h6a6oyyw6cuholvhl2m2kuh7orfvi5gjoxkhm4idq,did:plc:razafgyj7hhusljz5gcmrgzj,marelhos.bsky.social,Marelhos,O agro é morte,2025-07-30T11:53:14.628Z,0,0,0,2025-07-30T11:53:15.605Z,['pt'],True
at://did:plc:gkivphikfy4olkmweuogups6/app.bsky.feed.post/3lv6kckqyek2r,bafyreigr7ca2mys2l3brc37daddyaj6oezclkil3ean6zsnrwrcrpvh3ky,did:plc:gkivphikfy4olkmweuogups6,procurandosair.bsky.social,,"A questão central o povo acordar  entender de fato como as coisas são e se levantar contra essa elite 
Sei que é difícil, mas temos uma ótima oportunidade de acordar alguns pra entender que o Agro é o maior sanguessuga desse país 
Gera pouco emprego, mamam nas tetas do governo, pra enriquecer poucos",2025-07-30T11:45:51.091Z,0,0,1,2025-07-30T11:45:51.910Z,['en'],True
at://did:plc:2yweufms6o2mvtheib6b6vj3/app.bsky.feed.post/3lv6k23cils2p,bafyreigxhvcz3oitwjvw4rwfskf5lt6fd4sfh3ubjvsl7vturw6hjntwe4,did:plc:2yweufms6o2mvtheib6b6vj3,fk19121966.bsky.social,,"EFEITO BOLSONARO
www.brasil247.com/agro/exporta...",2025-07-30T11:41:06.451Z,0,0,0,2025-07-30T11:41:15.308Z,['pt'],True
at://did:plc:tirutta4zevidpwfuht7csdi/app.bsky.feed.post/3lv6jz6cjbs2o,bafyreiakqrnrfbl3bkwp44lq5wh7hkpt7y3tfn5gov5f4ed6s7rxjyeire,did:plc:tirutta4zevidpwfuht7csdi,priskika.bsky.social,Namorada reborn,"O agro lucra com a fome do brasileiro. Agro é fome, trabalho escravo, devastação e morte.",2025-07-30T11:40:36.042Z,0,9,22,2025-07-30T11:40:36.306Z,['pt'],True
at://did:plc:43jiklmif2excm3b2rngeawc/app.bsky.feed.post/3lv6jxnd33c2m,bafyreihhpnllt7e62uptke5l7srrgqocjibx2kpysr4hem62ah53snv6da,did:plc:43jiklmif2excm3b2rngeawc,gasseruto.bsky.social,Laura,"o brasileiro descobrindo que tem comida o suficiente no país pra ninguém passar fome e todo mundo comer bem, mas que o agro direciona tudo pra fora.",2025-07-30T11:39:44.682Z,0,27,68,2025-07-30T11:39:45.207Z,['pt'],True
