uri,cid,author_did,author_handle,author_display_name,text,created_at,reply_count,repost_count,like_count,indexed_at,langs,is_2025,sentiment_agronegocio,contexto_agronegocio
at://did:plc:hllnbe7rsxz574hbc2awer7w/app.bsky.feed.post/3lv6pwghj6s26,bafyreihatq3uge4jujuq2z3qulddhptfp27xdl4cdjx2rask2vlsu4tae4,did:plc:hllnbe7rsxz574hbc2awer7w,agatemiele.bsky.social,🌻Mulher que Fala Muito🌻,"Se vc veio na minha casa falar mal do agroNEGÓCIO, fica a vontade q eu vou passar um café",2025-07-30T13:26:26.384Z,0,0,10,2025-07-30T13:26:27.507Z,['pt'],True,negativo,contexto_positivo
at://did:plc:rlnjc4a6ioervuuwjcpr4y4e/app.bsky.feed.post/3lv6jzk4iyc2g,bafyreidc7xkcgiuwikdqtz6q2hzc2bmndj5tcp6j5wrrv5asoq2q5573dm,did:plc:rlnjc4a6ioervuuwjcpr4y4e,lucianosresende.bsky.social,lucianosresende,"O agronegócio vive fazendo propaganda que carrega o Brasil nas costas.  O Tesouro nacional acaba de publicar quanto custa aos cofres públicos, ou seja, o nosso dinheiro para subsidiar os empréstimos do agronegócio. Como se sabe eles pagam juros menores ao banco, mas o banco cobra a diferença ao",2025-07-30T11:40:48.420Z,3,20,38,2025-07-30T11:40:51.606Z,['pt'],True,negativo,contexto_positivo
at://did:plc:epbwftkjaudfazk4jwpe6xtp/app.bsky.feed.post/3lv6hbhfdws2u,bafyreihz2vw3wzfkskgsitqvjbpdvukfet4sz5yio7x42hoirdo4ld7hei,did:plc:epbwftkjaudfazk4jwpe6xtp,stedilemst.bsky.social,João Pedro Stédile,"O agronegócio vive fazendo propaganda que carrega o Brasil nas costas.  O Tesouro nacional acaba de publicar quanto custa aos cofres públicos, ou seja, o nosso dinheiro para subsidiar os empréstimos do agronegócio. +",2025-07-30T10:51:32.783Z,1,75,155,2025-07-30T10:51:37.315Z,['pt'],True,negativo,contexto_positivo
at://did:plc:kmy3mkgugqzte2csn7n7n5sk/app.bsky.feed.post/3lv65jkrjnc2k,bafyreiggqik3sws5zli2tx4lt43rhpwtybbs7ckk3regkflo35yzmyhcxa,did:plc:kmy3mkgugqzte2csn7n7n5sk,capitalnews.bsky.social,Jornal Capital News,"▶️ Com recordes de produção e exportações bilionárias, Mato Grosso do Sul se consolida como potência global do agronegócio
Apesar dos desafios, a motivação dos produtores permanece firme

#UltimasNoticias #CapitalNews

www.capitalnews.com.br/economia-e-a...",2025-07-30T07:57:07.345Z,0,0,0,2025-07-30T07:57:15.407Z,['pt'],True,positivo,contexto_positivo
at://did:plc:lwlgiwrcj3z3lxclisun6247/app.bsky.feed.post/3lv55knpkek2s,bafyreia2zw7xilgl7efcxsjyl4vwc6vslyfhniddnjbrgmphdiaqhye7ti,did:plc:lwlgiwrcj3z3lxclisun6247,miguelitto.the-gay.cat,Migυeℓito,"essas são as laranjas que o agronegócio quer que apodreçam no pé? kkkk
linda foto",2025-07-29T22:25:04.241Z,0,0,0,2025-07-29T22:25:06.110Z,['pt'],True,positivo,contexto_positivo
at://did:plc:2nldbmlponp5y4b4b5ehecqm/app.bsky.feed.post/3lv53cowlik2v,bafyreial3ukjjnl63ltluew3mnvb2adqwrvb2bu6qvfixugwvv4k56aiaq,did:plc:2nldbmlponp5y4b4b5ehecqm,correntedobem.bsky.social,Corrente do Bem 🇧🇷,"Apesar de queda de 80% nas compras dos EUA, o Brasil registrou aumento de quase 100% nas exportações de carne bovina no 1º semestre de 2025. 
O “tarifaço” dos EUA derrubou o preço da arroba para R$ 290–295 em SP, mas abriu espaço para novos mercados.

#Agronegócio #CarneBovina #Exportações2025",2025-07-29T21:44:49.579Z,2,11,39,2025-07-29T21:44:54.429Z,['pt'],True,neutro,nao_relacionado
at://did:plc:7m43jdugny3mwuwhlbmcyijg/app.bsky.feed.post/3lv4wbclfkc2c,bafyreicxkmd42xcl3ij2nnqzy3dl5pz6inpatfdabp32knajh4yloekcaa,did:plc:7m43jdugny3mwuwhlbmcyijg,taniapac.bsky.social,Combate Racismo Ambiental,"""A antropóloga aponta o agronegócio como principal vetor da violência, especialmente em estados como Roraima, Amazonas e Mato Grosso do Sul""",2025-07-29T20:14:34.390Z,2,27,52,2025-07-29T20:14:38.405Z,['pt'],True,negativo,contexto_positivo
at://did:plc:gmf576623a7ukfx5tu5zns52/app.bsky.feed.post/3lv4svmlcjc2d,bafyreihhfqcadxavpdo5pyeytxkt3lfllmotz4fzott7jrqth6i5irk2wi,did:plc:gmf576623a7ukfx5tu5zns52,will-i-am-br.bsky.social,Will.i.am Br,"Covardia do Trump apoiar o Genocidio na Palestino com o resort.

O mesmo pode acontecer no 🇧🇷 nas terras raras, nas reservas florestasis e dos indígenas que Trump quer EXPLORAR através da vaSSalagem dos governadores, prefeitos da direita, grilagem do agronegócio e mineradoras dos EUA.

Lula 2026 JÁ!",2025-07-29T19:14:20.994Z,0,0,2,2025-07-29T19:14:22.306Z,['pt'],True,negativo,contexto_positivo
at://did:plc:hh2nkxfnap5gv5ce3whg7kp4/app.bsky.feed.post/3lv4rtna57c2n,bafyreiafljlf23fpslujjzsxkcuhh3we2wgp3cnl2av7r4gnl6iukf3gz4,did:plc:hh2nkxfnap5gv5ce3whg7kp4,condutordotempo.bsky.social,Condutor do Tempo,"COMO A ECONOMIA CIRCULAR ESTÁ VIRANDO O JOGO NO AGRONEGÓCIO
open.substack.com/pub/oconduto...",2025-07-29T18:55:20.825Z,0,0,0,2025-07-29T18:55:33.907Z,['en'],True,positivo,contexto_positivo
at://did:plc:h2iuggsvli72fpqg24cybn5t/app.bsky.feed.post/3lv4rfyccb22v,bafyreifmh42w3cialdsw2gwm7krdkndotpbypmzmhsst3t4zttsscfo7d4,did:plc:h2iuggsvli72fpqg24cybn5t,ojoioeotrigo.bsky.social,O Joio e O Trigo,Sempre reforçamos como o combate à fome é um problema sistêmico. Falar de segurança alimentar e nutricional não tem como estar desvinculado do debate sobre reforma agrária ou do combate ao avanço do agronegócio e dos ultraprocessados que invadem a dieta da população brasileira.,2025-07-29T18:47:42.648Z,1,0,0,2025-07-29T18:47:06.468Z,['en'],True,negativo,contexto_positivo
at://did:plc:3b74a5fhizbgouvm2f4aqnsb/app.bsky.feed.post/3lv4pebjbac2y,bafyreicuvmf2bxhhnf5cnt6a2mw3y7p2kedfveg2lkpag5zrv33xwjbhdy,did:plc:3b74a5fhizbgouvm2f4aqnsb,paulo-carreira.bsky.social,paulinho,"eu acho doido que quando trabalhava numa empresa que lidava com agronegócio sempre perguntava pq o mercado nacional não era abastecido antes do mercado internacional e a resposta era bem diretona: ""GANÂNCIA""",2025-07-29T18:10:57.741Z,0,0,4,2025-07-29T18:11:00.904Z,['pt'],True,positivo,contexto_positivo
